Global_active_power,Global_intensity,Global_reactive_power,Sub_metering_1,Sub_metering_2,Voltage
4.216,18.400,0.418,1.000,17.0,234.840
5.360,23.000,0.436,1.000,16.0,233.630
5.374,23.000,0.498,2.000,17.0,233.290
5.388,23.000,0.502,1.000,17.0,233.740
3.666,15.800,0.528,1.000,17.0,235.680
3.520,15.000,0.522,2.000,17.0,235.020
3.702,15.800,0.520,1.000,17.0,235.090
3.700,15.800,0.520,1.000,17.0,235.220
3.668,15.800,0.510,1.000,17.0,233.990
3.662,15.800,0.510,2.000,16.0,233.860
4.448,19.600,0.498,1.000,17.0,232.860
5.412,23.200,0.470,1.000,17.0,232.780
5.224,22.400,0.478,1.000,16.0,232.990
5.268,22.600,0.398,2.000,17.0,232.910
4.054,17.600,0.422,1.000,17.0,235.240
3.384,14.200,0.282,0.000,17.0,237.140
3.270,13.800,0.152,0.000,17.0,236.730
3.430,14.400,0.156,0.000,17.0,237.060
3.266,13.800,0.000,0.000,18.0,237.130
3.728,16.400,0.000,0.000,17.0,235.840
5.894,25.400,0.000,0.000,16.0,232.690
7.706,33.200,0.000,0.000,17.0,230.980
7.026,30.600,0.000,0.000,16.0,232.210
5.174,22.000,0.000,0.000,17.0,234.190
4.474,19.400,0.000,0.000,17.0,234.960
3.248,13.600,0.000,0.000,17.0,236.660
3.236,13.600,0.000,0.000,17.0,235.840
3.228,13.600,0.000,0.000,17.0,235.600
3.258,13.800,0.000,0.000,17.0,235.490
3.178,13.400,0.000,0.000,17.0,235.280
2.720,11.600,0.000,0.000,17.0,235.060
3.758,16.400,0.076,0.000,17.0,234.170
4.342,18.400,0.090,0.000,16.0,233.770
4.512,19.200,0.000,0.000,17.0,233.620
4.058,17.600,0.200,0.000,17.0,234.680
2.472,10.400,0.058,0.000,17.0,236.940
2.790,11.800,0.180,0.000,18.0,237.520
2.624,11.000,0.144,0.000,17.0,238.200
2.772,11.600,0.118,0.000,17.0,238.280
3.740,16.400,0.108,16.000,18.0,236.930
4.928,21.000,0.202,37.000,16.0,235.010
6.052,26.200,0.192,37.000,17.0,232.930
6.752,29.000,0.186,36.000,17.0,232.120
6.474,27.800,0.144,37.000,16.0,231.850
6.308,27.000,0.116,36.000,17.0,232.250
4.464,19.000,0.136,37.000,16.0,234.660
3.396,15.000,0.148,22.000,18.0,236.200
3.090,13.800,0.152,12.000,17.0,237.070
3.730,16.400,0.144,27.000,17.0,235.780
2.308,9.600,0.160,1.000,17.0,237.430
2.388,10.000,0.158,1.000,17.0,237.260
4.598,21.400,0.100,20.000,17.0,234.250
4.524,19.600,0.076,9.000,17.0,234.200
4.202,17.800,0.082,1.000,17.0,234.310
4.472,19.200,0.000,1.000,16.0,233.290
2.852,12.000,0.000,1.000,17.0,235.610
2.928,12.400,0.000,1.000,17.0,235.250
2.940,12.400,0.000,2.000,17.0,236.040
2.934,12.400,0.000,1.000,17.0,235.510
2.926,12.400,0.000,1.000,17.0,235.680
3.452,15.200,0.000,1.000,17.0,235.200
4.870,20.800,0.000,1.000,17.0,233.740
4.868,20.800,0.000,1.000,17.0,233.840
4.866,20.800,0.000,1.000,17.0,233.790
3.176,13.800,0.000,1.000,17.0,235.500
2.920,12.400,0.000,1.000,17.0,235.840
2.930,12.400,0.000,1.000,17.0,236.150
2.912,12.400,0.050,1.000,17.0,235.810
2.608,11.000,0.052,1.000,17.0,235.410
2.714,11.600,0.162,0.000,17.0,234.820
3.538,15.600,0.086,1.000,16.0,233.760
6.072,26.400,0.000,27.000,17.0,232.480
4.536,19.400,0.000,1.000,17.0,233.540
4.408,18.800,0.000,1.000,16.0,232.320
2.912,13.000,0.048,1.000,17.0,234.020
2.326,9.800,0.054,1.000,17.0,234.760
2.264,9.600,0.054,1.000,17.0,234.670
2.270,9.600,0.054,1.000,17.0,235.270
2.258,9.600,0.054,1.000,17.0,235.120
2.188,9.200,0.068,1.000,17.0,235.800
2.978,13.200,0.166,1.000,17.0,234.810
4.200,17.800,0.174,1.000,17.0,234.380
4.204,17.800,0.186,1.000,16.0,234.200
4.218,18.000,0.178,1.000,17.0,233.980
2.786,12.000,0.188,2.000,17.0,234.990
2.540,10.800,0.088,4.000,17.0,234.670
2.496,10.600,0.080,3.000,17.0,233.920
2.336,10.000,0.070,1.000,16.0,233.510
2.322,9.800,0.000,0.000,17.0,233.440
2.448,10.600,0.000,1.000,17.0,233.640
4.298,18.400,0.000,1.000,16.0,232.390
4.230,18.200,0.090,1.000,17.0,232.250
4.230,18.200,0.090,2.000,16.0,232.320
3.924,17.000,0.084,1.000,17.0,232.790
4.218,18.000,0.090,1.000,17.0,232.090
4.224,18.200,0.090,1.000,16.0,231.960
4.070,17.400,0.088,1.000,17.0,231.990
3.612,15.600,0.090,2.000,16.0,232.360
3.458,14.800,0.090,1.000,17.0,232.710
3.434,14.800,0.090,1.000,16.0,232.010
3.366,14.400,0.000,1.000,17.0,232.780
3.404,14.600,0.082,2.000,16.0,233.080
3.382,14.400,0.074,0.000,17.0,233.690
3.616,15.400,0.106,4.000,17.0,234.440
3.476,14.800,0.092,3.000,17.0,234.600
3.394,14.400,0.064,0.000,17.0,235.120
3.400,14.400,0.000,1.000,17.0,234.280
3.414,14.400,0.000,1.000,17.0,234.190
3.432,14.600,0.000,1.000,16.0,234.690
3.418,14.600,0.000,2.000,17.0,234.260
3.392,14.400,0.000,1.000,17.0,233.300
3.394,14.400,0.000,1.000,17.0,233.430
3.394,14.400,0.000,1.000,16.0,233.450
3.406,14.400,0.000,2.000,17.0,233.910
3.420,14.600,0.000,1.000,17.0,234.430
3.418,14.400,0.000,1.000,17.0,234.340
3.422,14.600,0.052,1.000,17.0,234.580
3.332,14.200,0.000,1.000,16.0,234.020
3.316,14.000,0.046,1.000,17.0,234.290
3.334,14.200,0.000,2.000,17.0,234.360
3.262,14.000,0.052,0.000,17.0,232.640
3.476,14.800,0.064,3.000,16.0,232.960
3.620,15.400,0.090,5.000,17.0,233.470
3.610,15.200,0.084,5.000,17.0,234.980
3.646,15.400,0.138,5.000,17.0,234.340
3.614,15.400,0.192,5.000,17.0,233.920
3.408,14.400,0.162,2.000,16.0,233.940
3.388,14.400,0.134,1.000,17.0,233.720
3.372,14.400,0.132,2.000,17.0,233.200
3.370,14.400,0.132,1.000,16.0,233.100
3.342,14.400,0.120,1.000,17.0,232.290
3.284,14.000,0.000,2.000,16.0,232.450
3.276,14.000,0.000,1.000,17.0,231.970
3.382,14.400,0.130,2.000,17.0,232.420
3.418,14.600,0.160,1.000,16.0,233.380
3.396,14.600,0.158,1.000,17.0,232.690
3.406,14.600,0.158,2.000,16.0,233.200
3.406,14.600,0.158,1.000,17.0,233.260
3.392,14.400,0.156,1.000,17.0,232.840
3.378,14.400,0.154,2.000,16.0,232.390
3.368,14.400,0.154,1.000,17.0,232.140
3.350,14.400,0.152,1.000,16.0,231.570
3.352,14.400,0.152,2.000,17.0,231.660
3.364,14.400,0.154,1.000,16.0,232.220
3.380,14.400,0.156,1.000,17.0,232.810
3.404,14.400,0.160,1.000,17.0,233.770
3.378,14.400,0.156,2.000,16.0,232.820
3.388,14.400,0.158,1.000,17.0,233.220
3.376,14.400,0.156,1.000,17.0,232.840
3.254,13.800,0.000,0.000,16.0,232.750
3.214,13.800,0.078,0.000,17.0,232.640
3.202,13.800,0.078,0.000,16.0,232.200
3.202,13.800,0.078,0.000,17.0,232.200
3.212,13.800,0.078,0.000,16.0,232.580
3.206,13.800,0.078,0.000,17.0,232.400
3.214,13.800,0.078,0.000,17.0,232.660
3.206,13.800,0.078,0.000,16.0,232.430
3.222,13.800,0.078,0.000,17.0,233.020
3.216,13.800,0.076,0.000,16.0,232.800
3.216,13.800,0.078,0.000,17.0,232.790
3.194,13.600,0.078,0.000,16.0,231.980
3.278,14.000,0.000,0.000,17.0,232.880
3.282,14.000,0.000,0.000,17.0,232.520
3.292,14.000,0.000,0.000,16.0,232.870
3.316,14.000,0.000,0.000,17.0,233.780
3.370,14.400,0.080,0.000,17.0,233.690
3.420,14.600,0.144,0.000,17.0,234.040
3.410,14.600,0.142,0.000,16.0,233.930
3.400,14.400,0.140,0.000,17.0,233.620
3.400,14.400,0.140,0.000,17.0,233.640
3.388,14.400,0.140,0.000,16.0,233.260
3.370,14.400,0.086,0.000,17.0,233.900
3.332,14.200,0.000,0.000,17.0,233.680
3.310,14.200,0.000,0.000,17.0,232.830
3.312,14.200,0.000,0.000,16.0,233.000
3.314,14.200,0.000,0.000,17.0,233.080
3.302,14.200,0.000,0.000,16.0,232.690
3.302,14.000,0.000,0.000,17.0,232.910
3.300,14.000,0.000,0.000,17.0,232.870
3.290,14.000,0.000,0.000,16.0,232.420
3.286,14.000,0.000,0.000,17.0,232.310
3.230,13.800,0.052,0.000,16.0,232.790
3.218,13.800,0.078,0.000,17.0,233.050
3.258,13.800,0.076,0.000,17.0,234.570
3.264,13.800,0.076,0.000,17.0,234.790
3.260,13.800,0.076,0.000,17.0,234.600
3.262,13.800,0.076,0.000,17.0,234.540
3.264,13.800,0.076,0.000,16.0,234.600
3.238,13.800,0.076,0.000,17.0,233.770
3.228,13.800,0.078,0.000,17.0,233.500
3.222,13.800,0.078,0.000,17.0,233.270
3.226,13.800,0.078,0.000,16.0,233.370
3.206,13.600,0.078,0.000,17.0,232.640
3.188,13.600,0.080,0.000,16.0,231.950
3.196,13.600,0.080,0.000,17.0,232.210
3.204,13.600,0.078,0.000,16.0,232.500
3.232,13.800,0.078,0.000,17.0,233.630
3.254,13.800,0.074,0.000,17.0,234.430
3.376,14.400,0.050,0.000,17.0,234.630
3.372,14.200,0.048,0.000,17.0,235.050
3.366,14.200,0.048,0.000,17.0,234.960
3.386,14.200,0.050,0.000,17.0,235.770
3.496,14.800,0.146,0.000,17.0,236.760
3.426,14.600,0.146,0.000,17.0,234.590
3.440,14.600,0.148,0.000,17.0,235.130
3.440,14.600,0.146,0.000,17.0,235.140
3.454,14.600,0.150,0.000,17.0,235.750
3.450,14.600,0.150,0.000,17.0,235.690
3.480,14.600,0.154,0.000,17.0,236.860
3.474,14.600,0.152,0.000,17.0,236.720
3.456,14.600,0.150,0.000,17.0,236.050
1.832,8.400,0.170,0.000,17.0,237.540
2.044,9.400,0.102,0.000,18.0,237.440
3.354,14.000,0.000,0.000,17.0,237.000
3.282,13.800,0.074,0.000,17.0,235.550
3.308,14.000,0.074,0.000,17.0,236.510
3.314,14.000,0.072,0.000,17.0,236.760
3.306,13.800,0.072,0.000,17.0,237.110
1.692,7.800,0.054,0.000,18.0,238.720
3.342,14.000,0.070,0.000,17.0,237.660
3.354,14.000,0.070,0.000,17.0,238.200
3.334,14.000,0.072,0.000,18.0,237.460
3.330,14.000,0.072,0.000,17.0,237.360
2.740,12.000,0.064,0.000,17.0,238.130
2.188,10.000,0.060,0.000,18.0,237.740
3.330,14.000,0.070,0.000,17.0,237.260
3.340,14.000,0.070,0.000,17.0,237.690
3.306,14.000,0.072,0.000,17.0,236.440
3.044,13.200,0.072,0.000,17.0,236.230
1.766,8.200,0.058,0.000,18.0,237.700
3.376,14.200,0.000,0.000,17.0,235.730
3.414,14.400,0.052,0.000,17.0,236.510
3.426,14.400,0.054,0.000,17.0,237.110
3.420,14.400,0.054,0.000,17.0,237.060
1.876,8.600,0.074,0.000,18.0,238.630
3.442,14.400,0.056,0.000,17.0,237.580
3.414,14.400,0.054,0.000,17.0,236.870
3.412,14.400,0.056,0.000,17.0,236.940
2.542,11.400,0.068,0.000,18.0,238.170
2.820,12.400,0.062,0.000,17.0,237.420
3.410,14.400,0.054,0.000,17.0,236.910
3.392,14.200,0.052,0.000,17.0,236.240
